time,sent,received,pdr,throughput,packet_rate,connected
0.019263029098510742,0,0,0,0.0,0.0,0
0.054222822189331055,0,0,0,0.0,0.0,0
0.07986164093017578,0,0,0,0.0,0.0,0
0.1038353443145752,0,0,0,0.0,0.0,0
0.13011550903320312,0,0,0,0.0,0.0,0
0.15437531471252441,0,0,0,0.0,0.0,0
0.18169212341308594,0,0,0,0.0,0.0,0
0.20627236366271973,0,0,0,0.0,0.0,0
0.2334585189819336,0,0,0,0.0,0.0,0
0.25776195526123047,0,0,0,0.0,0.0,0
0.2845735549926758,0,0,0,0.0,0.0,0
0.31049180030822754,0,0,0,0.0,0.0,0
0.3348722457885742,0,0,0,0.0,0.0,0
0.3605775833129883,0,0,0,0.0,0.0,0
0.3858377933502197,0,0,0,0.0,0.0,0
0.4111020565032959,0,0,0,0.0,0.0,0
0.4371044635772705,0,0,0,0.0,0.0,0
0.46558451652526855,0,0,0,0.0,0.0,0
0.49041247367858887,0,0,0,0.0,0.0,0
0.5152802467346191,0,0,0,0.0,0.0,0
0.5413994789123535,0,0,0,0.0,0.0,0
0.5830166339874268,0,0,0,0.0,0.0,0
0.6038110256195068,0,0,0,0.0,0.0,0
0.6283764839172363,0,0,0,0.0,0.0,0
0.652475118637085,0,0,0,0.0,0.0,0
0.6805987358093262,0,0,0,0.0,0.0,0
0.7036473751068115,0,0,0,0.0,0.0,0
0.7289936542510986,0,0,0,0.0,0.0,0
0.7547657489776611,0,0,0,0.0,0.0,0
0.7822716236114502,0,0,0,0.0,0.0,0
0.8074300289154053,0,0,0,0.0,0.0,0
0.8342270851135254,0,0,0,0.0,0.0,0
0.8609199523925781,0,0,0,0.0,0.0,0
0.8865444660186768,0,0,0,0.0,0.0,0
0.9140303134918213,0,0,0,0.0,0.0,0
0.9407346248626709,0,0,0,0.0,0.0,0
0.9654057025909424,0,0,0,0.0,0.0,0
0.9891438484191895,0,0,0,0.0,0.0,0
1.0157549381256104,0,0,0,0.0,0.0,0
1.040543794631958,0,0,0,0.0,0.0,0
1.0652174949645996,0,0,0,0.0,0.0,0
1.0907282829284668,0,0,0,0.0,0.0,0
1.118361234664917,0,0,0,0.0,0.0,0
1.1504583358764648,0,0,0,0.0,0.0,0
1.1746675968170166,0,0,0,0.0,0.0,0
1.201998233795166,0,0,0,0.0,0.0,0
1.2326467037200928,0,0,0,0.0,0.0,0
1.2544312477111816,0,0,0,0.0,0.0,0
1.2814610004425049,0,0,0,0.0,0.0,0
1.3055953979492188,0,0,0,0.0,0.0,0
1.3311882019042969,0,0,0,0.0,0.0,0
1.3594353199005127,0,0,0,0.0,0.0,0
1.3864288330078125,0,0,0,0.0,0.0,0
1.4123899936676025,0,0,0,0.0,0.0,0
1.4346568584442139,0,0,0,0.0,0.0,0
1.4625227451324463,0,0,0,0.0,0.0,0
1.4870350360870361,0,0,0,0.0,0.0,0
1.5150482654571533,0,0,0,0.0,0.0,0
1.538630723953247,0,0,0,0.0,0.0,0
1.566727876663208,0,0,0,0.0,0.0,0
1.5914630889892578,0,0,0,0.0,0.0,0
1.6166877746582031,0,0,0,0.0,0.0,0
1.6424572467803955,0,0,0,0.0,0.0,0
1.6671142578125,0,0,0,0.0,0.0,0
1.6937956809997559,0,0,0,0.0,0.0,0
1.7191050052642822,0,0,0,0.0,0.0,0
1.7454662322998047,0,0,0,0.0,0.0,0
1.7706477642059326,0,0,0,0.0,0.0,0
1.7959344387054443,0,0,0,0.0,0.0,0
1.8213207721710205,0,0,0,0.0,0.0,0
1.84763765335083,0,0,0,0.0,0.0,0
1.8721489906311035,0,0,0,0.0,0.0,0
1.8983948230743408,0,0,0,0.0,0.0,0
1.9238088130950928,0,0,0,0.0,0.0,0
1.95037841796875,0,0,0,0.0,0.0,0
1.9741268157958984,0,0,0,0.0,0.0,0
2.000903844833374,0,0,0,0.0,0.0,0
2.030806064605713,0,0,0,0.0,0.0,0
2.0540835857391357,0,0,0,0.0,0.0,0
2.0833611488342285,0,0,0,0.0,0.0,0
2.109198570251465,0,0,0,0.0,0.0,0
2.136474847793579,0,0,0,0.0,0.0,0
2.1602916717529297,0,0,0,0.0,0.0,0
2.1863596439361572,0,0,0,0.0,0.0,0
2.2121951580047607,0,0,0,0.0,0.0,0
2.237752676010132,0,0,0,0.0,0.0,0
2.263793706893921,0,0,0,0.0,0.0,0
2.288975477218628,0,0,0,0.0,0.0,0
2.3159215450286865,0,0,0,0.0,0.0,0
2.341984272003174,0,0,0,0.0,0.0,0
2.3750789165496826,0,0,0,0.0,0.0,0
2.401367425918579,0,0,0,0.0,0.0,0
2.426569700241089,0,0,0,0.0,0.0,0
2.451941967010498,0,0,0,0.0,0.0,0
2.4779157638549805,0,0,0,0.0,0.0,0
2.5035040378570557,0,0,0,0.0,0.0,0
2.5314388275146484,0,0,0,0.0,0.0,0
2.556381940841675,0,0,0,0.0,0.0,0
2.582348585128784,0,0,0,0.0,0.0,0
2.6076080799102783,0,0,0,0.0,0.0,0
2.6330463886260986,0,0,0,0.0,0.0,0
2.6609363555908203,0,0,0,0.0,0.0,0
2.6852736473083496,0,0,0,0.0,0.0,0
2.714329242706299,0,0,0,0.0,0.0,0
2.7353854179382324,0,0,0,0.0,0.0,0
2.761310338973999,0,0,0,0.0,0.0,0
2.7865655422210693,0,0,0,0.0,0.0,0
2.811410427093506,0,0,0,0.0,0.0,0
2.8363120555877686,0,0,0,0.0,0.0,0
2.872424364089966,0,0,0,0.0,0.0,0
2.898392677307129,0,0,0,0.0,0.0,0
2.915358781814575,0,0,0,0.0,0.0,0
2.939417839050293,0,0,0,0.0,0.0,0
2.9666569232940674,0,0,0,0.0,0.0,0
2.991553544998169,0,0,0,0.0,0.0,0
3.016800880432129,0,0,0,0.0,0.0,0
3.04195499420166,0,0,0,0.0,0.0,0
3.0684256553649902,0,0,0,0.0,0.0,0
3.0932188034057617,0,0,0,0.0,0.0,0
3.118903160095215,0,0,0,0.0,0.0,0
3.1471056938171387,0,0,0,0.0,0.0,0
3.1713619232177734,0,0,0,0.0,0.0,0
3.1987712383270264,0,0,0,0.0,0.0,0
3.222416877746582,0,0,0,0.0,0.0,0
3.2492382526397705,0,0,0,0.0,0.0,0
3.274556875228882,0,0,0,0.0,0.0,0
3.3003878593444824,0,0,0,0.0,0.0,0
3.325863838195801,0,0,0,0.0,0.0,0
3.3508899211883545,0,0,0,0.0,0.0,0
3.376513957977295,0,0,0,0.0,0.0,0
3.4012978076934814,0,0,0,0.0,0.0,0
3.427063465118408,0,0,0,0.0,0.0,0
3.4532315731048584,0,0,0,0.0,0.0,0
3.4801061153411865,0,0,0,0.0,0.0,0
3.507333755493164,0,0,0,0.0,0.0,0
3.531653642654419,0,0,0,0.0,0.0,0
3.5571577548980713,0,0,0,0.0,0.0,0
3.582148790359497,0,0,0,0.0,0.0,0
3.6073451042175293,0,0,0,0.0,0.0,0
3.6330721378326416,0,0,0,0.0,0.0,0
3.6595993041992188,0,0,0,0.0,0.0,0
3.685997724533081,0,0,0,0.0,0.0,0
3.7117505073547363,0,0,0,0.0,0.0,0
3.7355971336364746,0,0,0,0.0,0.0,0
3.7628307342529297,0,0,0,0.0,0.0,0
3.7873051166534424,0,0,0,0.0,0.0,0
3.8123586177825928,0,0,0,0.0,0.0,0
3.836677312850952,0,0,0,0.0,0.0,0
3.8644955158233643,0,0,0,0.0,0.0,0
3.88802170753479,0,0,0,0.0,0.0,0
3.9153048992156982,0,0,0,0.0,0.0,0
3.9410760402679443,0,0,0,0.0,0.0,0
3.9673891067504883,0,0,0,0.0,0.0,0
3.9954123497009277,0,0,0,0.0,0.0,0
4.022681713104248,0,0,0,0.0,0.0,0
4.04826283454895,0,0,0,0.0,0.0,0
4.071364879608154,0,0,0,0.0,0.0,0
4.098834276199341,0,0,0,0.0,0.0,0
4.123220920562744,0,0,0,0.0,0.0,0
4.151451826095581,0,0,0,0.0,0.0,0
4.177182197570801,0,0,0,0.0,0.0,0
4.20164942741394,0,0,0,0.0,0.0,0
4.226455450057983,0,0,0,0.0,0.0,0
4.2527148723602295,0,0,0,0.0,0.0,0
4.278454065322876,0,0,0,0.0,0.0,0
4.302354335784912,0,0,0,0.0,0.0,0
4.329861879348755,0,0,0,0.0,0.0,0
4.353741884231567,0,0,0,0.0,0.0,0
4.38134503364563,0,0,0,0.0,0.0,0
4.4046759605407715,0,0,0,0.0,0.0,0
4.429913520812988,0,0,0,0.0,0.0,0
4.4546592235565186,0,0,0,0.0,0.0,0
4.481706857681274,0,0,0,0.0,0.0,0
4.507179498672485,0,0,0,0.0,0.0,0
4.533146858215332,0,0,0,0.0,0.0,0
4.558991193771362,0,0,0,0.0,0.0,0
4.584140300750732,0,0,0,0.0,0.0,0
4.6086647510528564,0,0,0,0.0,0.0,0
4.633714437484741,0,0,0,0.0,0.0,0
4.658035755157471,0,0,0,0.0,0.0,0
4.684367656707764,0,0,0,0.0,0.0,0
4.71134090423584,0,0,0,0.0,0.0,0
4.736396551132202,0,0,0,0.0,0.0,0
4.763640880584717,0,0,0,0.0,0.0,0
4.788084268569946,0,0,0,0.0,0.0,0
4.8138267993927,0,0,0,0.0,0.0,0
4.83960485458374,0,0,0,0.0,0.0,0
4.864970684051514,0,0,0,0.0,0.0,0
4.889996528625488,0,0,0,0.0,0.0,0
4.915367126464844,0,0,0,0.0,0.0,0
4.940835475921631,0,0,0,0.0,0.0,0
4.966806650161743,0,0,0,0.0,0.0,0
4.991872310638428,0,0,0,0.0,0.0,0
5.018716335296631,0,0,0,0.0,0.0,0
5.043990135192871,0,0,0,0.0,0.0,0
5.087958097457886,0,0,0,0.0,0.0,0
5.115012884140015,0,0,0,0.0,0.0,0
5.141353130340576,0,0,0,0.0,0.0,0
5.166632652282715,0,0,0,0.0,0.0,0
5.192430019378662,0,0,0,0.0,0.0,0
5.218315839767456,0,0,0,0.0,0.0,0
5.244699001312256,0,0,0,0.0,0.0,0
5.269758462905884,0,0,0,0.0,0.0,0
5.29448676109314,0,0,0,0.0,0.0,0
5.320493221282959,0,0,0,0.0,0.0,0
5.347864151000977,0,0,0,0.0,0.0,0
5.3730387687683105,0,0,0,0.0,0.0,0
5.398737668991089,0,0,0,0.0,0.0,0
5.4248206615448,0,0,0,0.0,0.0,0
5.451696395874023,0,0,0,0.0,0.0,0
5.47724175453186,0,0,0,0.0,0.0,0
5.501455307006836,0,0,0,0.0,0.0,0
5.527975559234619,0,0,0,0.0,0.0,0
5.553716421127319,0,0,0,0.0,0.0,0
5.579427003860474,0,0,0,0.0,0.0,0
5.603599548339844,0,0,0,0.0,0.0,0
5.62956166267395,0,0,0,0.0,0.0,0
5.653588056564331,0,0,0,0.0,0.0,0
5.679336786270142,0,0,0,0.0,0.0,0
